Hrac,Vek,Prumerny_cas_na_lede_min
Zdeno Chara,42,20.89
Joe Thornton,40,15.5
Patrick Marleau,40,15.58
Ron Hainsey,38,20.68
Justin Williams,38,13.62
Deryk Engelland,37,17.56
Ilya Kovalchuk,36,16.81
Jason Spezza,36,10.83
Mikko Koivu,36,15.57
Dan Hamhuis,37,14.51
Valtteri Filppula,35,16.61
Trevor Daley,36,15.66
Frans Nielsen,35,13.68
Jay Bouwmeester,36,21.57
Johnny Boychuk,35,17.29
Alexander Steen,35,13.99
Duncan Keith,36,24.39
Jonathan Ericsson,35,14.25
Eric Staal,35,17.13
Ryan Suter,34,24.64
Braydon Coburn,34,14.05
Jeff Carter,34,16.92
Dustin Brown,35,18.41
Brent Seabrook,34,18.15
Zach Parise,35,17.2
Ryan Getzlaf,34,18.72
Brent Burns,34,25.41
Brian Boyle,35,12.38
Corey Perry,34,13.73
Loui Eriksson,34,12.37
Patrice Bergeron,34,18.71
Shea Weber,34,24.01
David Backes,35,9.4
Brad Richardson,34,13.65
Nate Thompson,35,12.81
Joe Pavelski,35,16.98
Mark Giordano,36,23.89
Alex Ovechkin,34,20.67
Evgeni Malkin,33,19.52
Andrew Ladd,34,11.96
Blake Wheeler,33,19.32
Alexander Radulov,33,16.78
Travis Zajac,34,17.1
Mike Green,34,20.88
Blake Comeau,33,14.83
Carl Soderberg,34,15.9
Alex Goligoski,34,23.06
David Krejci,33,17.23
Andrej Sekera,33,17.89
Alexander Edler,33,22.62
Roman Polak,33,16.66
Troy Brouwer,34,9.54
Paul Stastny,34,17.15
Sidney Crosby,32,20.27
Bobby Ryan,32,13.52
Jack Johnson,32,19.46
Anze Kopitar,32,21.04
Marc Staal,32,17.64
T.J. Oshie,33,18.28
Andrew Cogliano,32,12.43
Matt Niskanen,33,21.92
James Neal,32,16.31
Marc-Edouard Vlasic,32,20.29
Justin Abdelkader,32,11.53
Kris Letang,32,25.73
Kris Russell,32,16.78
Keith Yandle,33,19.7
Vladimir Sobotka,32,14.27
Niklas Hjalmarsson,32,18.76
Darren Helm,32,13.73
Nathan Gerbe,32,13.75
Ryan Reaves,32,10.1
Anton Stralman,33,21.07
Patric Hornqvist,32,15.93
Andy Greene,37,19.55
Bryan Little,32,16.15
Alex Biega,31,16.42
Brad Marchand,31,19.45
Nick Foligno,32,18.67
Erik Johnson,31,20.92
Kyle Okposo,31,12.85
Trevor Lewis,32,11.91
Leo Komarov,32,12.6
Milan Lucic,31,13.33
Chris Stewart,32,7.78
Cal Clutterbuck,32,13.42
Jeff Petry,32,23.65
Claude Giroux,31,18.9
Jordan Staal,31,17.51
Derick Brassard,32,13.7
Michael Grabner,32,12.37
Phil Kessel,32,17.15
Korbinian Holzer,31,16.03
Nicklas Backstrom,32,19.05
Michael Frolik,31,12.46
Artem Anisimov,31,13.85
Jonathan Toews,31,19.78
Mathieu Perreault,31,13.11
Mark Letestu,34,10.6
Alex Killorn,30,17.88
Karl Alzner,31,13.92
Jamie Benn,30,16.43
Steven Kampfer,31,13.64
Paul Carey,31,6.37
Nick Bonino,31,16.52
Ian Cole,30,17.65
Justin Braun,32,17.23
Kevin Shattenkirk,30,18.88
Patrick Maroon,31,12.44
James van Riemsdyk,30,14.82
Paul Byron,30,14.33
Sam Gagner,30,13.35
Logan Couture,30,18.53
P.K. Subban,30,22.12
Riley Nash,30,11.84
Kyle Turris,30,15.42
Brendan Smith,30,11.1
Brandon Sutter,30,14.85
Colton Sceviour,30,13.25
David Perron,31,18.3
Carl Gunnarsson,33,15.76
Yannick Weber,31,14.01
Patrick Kane,31,21.34
Robert Bortuzzo,30,13.08
Evgenii Dadonov,30,17.11
Mikael Backlund,30,17.92
Ryan McDonagh,30,20.94
Max Pacioretty,31,17.92
Jakub Voracek,30,17.07
Jake Muzzin,30,21.59
Alec Martinez,32,21.63
Carl Hagelin,31,14.22
Lars Eller,30,17.01
Wayne Simmonds,31,14.92
Nick Holden,32,18.53
Jason Demers,31,20.49
Micheal Haley,33,5.53
Zack Smith,31,11.79
