Home,Away,Goals_home,Goals_away,First_goal_team,Winner
Toronto,Ottawa,5,3,Toronto,Toronto
St Louis,Washington,2,3,St Louis,Washington
Edmonton,Vancouver,3,2,Vancouver,Edmonton
Vegas,San Jose,4,1,Vegas,Vegas
Toronto,Ottawa,5,3,Toronto,Toronto
St Louis,Washington,2,3,St Louis,Washington
Edmonton,Vancouver,3,2,Vancouver,Edmonton
Vegas,San Jose,4,1,Vegas,Vegas
Tampa Bay,Florida,5,2,Florida,Tampa Bay
NY Rangers,Winnipeg,6,4,Winnipeg,NY Rangers
Pittsburgh,Buffalo,1,3,Pittsburgh,Buffalo
Carolina,Montreal,4,3,Carolina,Carolina
Nashville,Minnesota,5,2,Nashville,Nashville
Dallas,Boston,1,2,Dallas,Boston
Colorado,Calgary,5,3,Calgary,Colorado
Anaheim,Arizona,2,1,Arizona,Anaheim
Tampa Bay,Florida,5,2,Florida,Tampa Bay
NY Rangers,Winnipeg,6,4,Winnipeg,NY Rangers
Pittsburgh,Buffalo,1,3,Pittsburgh,Buffalo
Carolina,Montreal,4,3,Carolina,Carolina
Nashville,Minnesota,5,2,Nashville,Nashville
Dallas,Boston,1,2,Dallas,Boston
Colorado,Calgary,5,3,Calgary,Colorado
Anaheim,Arizona,2,1,Arizona,Anaheim
Philadelphia,Chicago,4,3,Philadelphia,Philadelphia
New Jersey,Winnipeg,4,5,New Jersey,Winnipeg
NY Islanders,Washington,1,2,Washington,Washington
Columbus,Toronto,1,4,Toronto,Toronto
San Jose,Vegas,1,5,Vegas,Vegas
Philadelphia,Chicago,4,3,Philadelphia,Philadelphia
New Jersey,Winnipeg,4,5,New Jersey,Winnipeg
NY Islanders,Washington,1,2,Washington,Washington
Columbus,Toronto,1,4,Toronto,Toronto
San Jose,Vegas,1,5,Vegas,Vegas
Buffalo,New Jersey,7,2,Buffalo,Buffalo
Toronto,Montreal,5,6,Toronto,Montreal
Ottawa,NY Rangers,1,4,NY Rangers,NY Rangers
Florida,Tampa Bay,4,3,Florida,Florida
Pittsburgh,Columbus,7,2,Pittsburgh,Pittsburgh
Washington,Carolina,2,3,Washington,Carolina
St Louis,Dallas,3,2,Dallas,St Louis
Nashville,Detroit,3,5,Nashville,Detroit
Arizona,Boston,0,1,Boston,Boston
Colorado,Minnesota,4,2,Minnesota,Colorado
Anaheim,San Jose,3,1,San Jose,Anaheim
Calgary,Vancouver,3,0,Calgary,Calgary
Edmonton,Los Angeles,6,5,Edmonton,Edmonton
Buffalo,New Jersey,7,2,Buffalo,Buffalo
Toronto,Montreal,5,6,Toronto,Montreal
Ottawa,NY Rangers,1,4,NY Rangers,NY Rangers
Florida,Tampa Bay,4,3,Florida,Florida
Pittsburgh,Columbus,7,2,Pittsburgh,Pittsburgh
Washington,Carolina,2,3,Washington,Carolina
St Louis,Dallas,3,2,Dallas,St Louis
Nashville,Detroit,3,5,Nashville,Detroit
Arizona,Boston,0,1,Boston,Boston
Colorado,Minnesota,4,2,Minnesota,Colorado
Anaheim,San Jose,3,1,San Jose,Anaheim
Calgary,Vancouver,3,0,Calgary,Calgary
Edmonton,Los Angeles,6,5,Edmonton,Edmonton
Carolina,Tampa Bay,4,3,Carolina,Carolina
Detroit,Dallas,4,3,Detroit,Detroit
NY Islanders,Winnipeg,4,1,NY Islanders,NY Islanders
Carolina,Tampa Bay,4,3,Carolina,Carolina
Detroit,Dallas,4,3,Detroit,Detroit
NY Islanders,Winnipeg,4,1,NY Islanders,NY Islanders
Toronto,St Louis,2,3,St Louis,St Louis
Columbus,Buffalo,4,3,Columbus,Columbus
Toronto,St Louis,2,3,St Louis,St Louis
Columbus,Buffalo,4,3,Columbus,Columbus
Florida,Carolina,3,6,Carolina,Carolina
NY Islanders,Edmonton,2,5,Edmonton,Edmonton
Pittsburgh,Winnipeg,1,4,Winnipeg,Winnipeg
Washington,Dallas,3,4,Dallas,Dallas
Detroit,Anaheim,1,3,Detroit,Anaheim
Nashville,San Jose,5,2,Nashville,Nashville
Calgary,Los Angeles,3,4,Los Angeles,Los Angeles
Vegas,Boston,3,4,Boston,Boston
Florida,Carolina,3,6,Carolina,Carolina
NY Islanders,Edmonton,2,5,Edmonton,Edmonton
Pittsburgh,Winnipeg,1,4,Winnipeg,Winnipeg
Washington,Dallas,3,4,Dallas,Dallas
Detroit,Anaheim,1,3,Detroit,Anaheim
Nashville,San Jose,5,2,Nashville,Nashville
Calgary,Los Angeles,3,4,Los Angeles,Los Angeles
Vegas,Boston,3,4,Boston,Boston
Buffalo,Montreal,5,4,Montreal,Buffalo
Philadelphia,New Jersey,4,0,Philadelphia,Philadelphia
Vancouver,Los Angeles,8,2,Vancouver,Vancouver
Buffalo,Montreal,5,4,Montreal,Buffalo
Philadelphia,New Jersey,4,0,Philadelphia,Philadelphia
Vancouver,Los Angeles,8,2,Vancouver,Vancouver
Toronto,Tampa Bay,3,7,Toronto,Tampa Bay
Montreal,Detroit,2,4,Montreal,Detroit
New Jersey,Edmonton,3,4,New Jersey,Edmonton
Pittsburgh,Anaheim,2,1,Pittsburgh,Pittsburgh
Ottawa,St Louis,4,6,Ottawa,St Louis
Nashville,Washington,6,5,Washington,Nashville
Winnipeg,Minnesota,5,2,Winnipeg,Winnipeg
Chicago,San Jose,4,5,San Jose,San Jose
Dallas,Calgary,2,3,Dallas,Calgary
Colorado,Boston,4,2,Colorado,Colorado
Arizona,Vegas,4,1,Arizona,Arizona
Toronto,Tampa Bay,3,7,Toronto,Tampa Bay
Montreal,Detroit,2,4,Montreal,Detroit
New Jersey,Edmonton,3,4,New Jersey,Edmonton
Pittsburgh,Anaheim,2,1,Pittsburgh,Pittsburgh
Ottawa,St Louis,4,6,Ottawa,St Louis
Nashville,Washington,6,5,Washington,Nashville
Winnipeg,Minnesota,5,2,Winnipeg,Winnipeg
